FIPS,County name,State,Pop. 1990,Pop. 2000,Pop. 2010,Pop. 2018,Change 2010-2018,Change 2000-2018,Change 1990-2018
46003,Aurora County,South Dakota,"3,135","3,051","2,710","2,801",-0.119243127,-0.089253838,3.40%
46005,Beadle County,South Dakota,"18,253","17,027","17,399","18,883",0.033363343,0.098289467,8.50%
46007,Bennett County,South Dakota,"3,206","3,572","3,431","3,468",0.075547866,-0.029988466,1.10%
46009,Bon Homme County,South Dakota,"7,089","7,262","7,067","6,980",-0.015616046,-0.040401146,-1.20%
46011,Brookings County,South Dakota,"25,207","28,233","31,962","35,232",0.284542461,0.198654632,10.20%
46013,Brown County,South Dakota,"35,580","35,468","36,532","39,316",0.095024926,0.097873639,7.60%
46015,Brule County,South Dakota,"5,485","5,362","5,255","5,229",-0.048957736,-0.025435074,-0.50%
46017,Buffalo County,South Dakota,"1,759","2,032","1,913","2,036",0.136051081,0.001964637,6.40%
46019,Butte County,South Dakota,"7,914","9,093","10,112","10,222",0.225787517,0.110448053,1.10%
46021,Campbell County,South Dakota,"1,965","1,782","1,466","1,377",-0.427015251,-0.294117647,-6.10%
46023,Charles Mix County,South Dakota,"9,131","9,350","9,131","9,338",0.022167488,-0.001285072,2.30%
46025,Clark County,South Dakota,"4,403","4,143","3,691","3,739",-0.17758759,-0.108050281,1.30%
46027,Clay County,South Dakota,"13,186","13,538","13,868","14,041",0.060893099,0.035823659,1.20%
46029,Codington County,South Dakota,"22,698","25,909","27,225","28,015",0.189791183,0.075174014,2.90%
46031,Corson County,South Dakota,"4,195","4,177","4,048","4,165",-0.007202881,-0.002881152,2.90%
46033,Custer County,South Dakota,"6,179","7,268","8,218","8,726",0.291886317,0.167086867,6.20%
46035,Davison County,South Dakota,"17,503","18,743","19,504","19,790",0.115563416,0.052905508,1.50%
46037,Day County,South Dakota,"6,978","6,246","5,710","5,505",-0.267574932,-0.134604905,-3.60%
46039,Deuel County,South Dakota,"4,522","4,498","4,364","4,337",-0.042656214,-0.037122435,-0.60%
46041,Dewey County,South Dakota,"5,523","5,972","5,301","5,904",0.06453252,-0.011517615,11.40%
46043,Douglas County,South Dakota,"3,746","3,456","3,000","2,935",-0.276320273,-0.177512777,-2.20%
46045,Edmunds County,South Dakota,"4,356","4,367","4,071","3,875",-0.124129032,-0.126967742,-4.80%
46047,Fall River County,South Dakota,"7,353","7,453","7,094","6,758",-0.0880438,-0.102841077,-4.70%
46049,Faulk County,South Dakota,"2,744","2,640","2,364","2,330",-0.177682403,-0.13304721,-1.40%
46051,Grant County,South Dakota,"8,372","7,845","7,358","7,147",-0.171400588,-0.097663355,-2.90%
46053,Gregory County,South Dakota,"5,359","4,790","4,271","4,212",-0.272317189,-0.137226971,-1.40%
46055,Haakon County,South Dakota,"2,624","2,196","1,937","1,918",-0.368091762,-0.144942649,-1.00%
46057,Hamlin County,South Dakota,"4,974","5,530","5,903","6,111",0.186057928,0.095074456,3.50%
46059,Hand County,South Dakota,"4,272","3,741","3,430","3,262",-0.309625996,-0.146842428,-4.90%
