Location,In Scope,Type,Size,Date,Level,Title,Description,Keywords,H1TagTexts,Word Count,LinksIn,LinksOut,Images,Audios,Videos,Documents,Notes
http://snapcats.org/,TRUE,text/html,14954,2018-02-21T23:09:31,0,SNAP Cats Home Page,,,,239,0,47,36,0,0,2, 
http://snapcats.org/index.html,TRUE,text/html,14954,2018-02-21T23:09:31,1,SNAP Cats Home Page,,,,239,144,47,36,0,0,2, 
http://snapcats.org/donate.htm,TRUE,text/html,13495,2018-02-05T18:27:12,1,SNAP Cats - Donate/Sponsor,,,,205,144,43,34,0,0,2, 
http://snapcats.org/ebaygivingworks.htm,TRUE,text/html,9497,2017-02-18T23:53:22,1,SNAP Cats - eBay Giving Works,,,,107,144,39,24,0,0,1, 
http://snapcats.org/helppage.htm,TRUE,text/html,8181,2017-10-31T00:11:18,1,SNAP Cats - Help Page,,,,95,144,37,25,0,0,1, 
http://snapcats.org/webcam.htm,TRUE,text/html,8981,2017-10-31T00:15:28,1,SNAP Cats - Webcam Page,,,,114,76,42,29,0,0,1, 
http://snapcats.org/aboutus.htm,TRUE,text/html,11245,2017-10-29T23:37:26,1,SNAP Cats - About Us,,,,133,144,38,26,0,0,1, 
http://snapcats.org/media.htm,TRUE,text/html,20577,2018-01-08T23:00:46,1,SNAP Cats - Media,,,,283,144,47,36,0,0,1, 
http://snapcats.org/ourcats.htm,TRUE,text/html,9406,2018-01-08T22:47:54,1,SNAP Cats - Our Special Cats,,,,147,144,42,28,0,0,2, 
http://snapcats.org/partners.htm,TRUE,text/html,10321,2018-01-08T22:40:32,1,SNAP Cats - Rescue Partners,,,,139,144,55,26,0,0,1, 
http://snapcats.org/education.htm,TRUE,text/html,28512,2017-10-31T00:09:45,1,SNAP Cats - Education,,,,234,144,85,25,0,0,1, 
http://snapcats.org/videos.htm,TRUE,text/html,10859,2017-10-31T00:15:03,1,SNAP Cats - Our Favorite Videos,,,,104,144,48,25,0,6,1, 
http://snapcats.org/dden.htm,TRUE,text/html,13444,2017-10-29T23:40:14,1,SNAP Cats - Darryls Den,,,,132,144,44,32,0,0,1, 
http://snapcats.org/events.htm,TRUE,text/html,7587,2017-10-31T00:10:39,1,SNAP Cats - Events,,,,90,144,37,25,0,0,1, 
http://snapcats.org/community.htm,TRUE,text/html,12890,2017-10-29T23:39:59,1,SNAP Cats Community,,,,138,144,39,26,0,0,3, 
http://snapcats.org/resources.htm,TRUE,text/html,13520,2017-10-31T00:14:06,1,SNAP Cats - Local Resources,,,,263,144,60,28,0,0,1, 
